s1,s2,label
puede hacer pedido,puedo hacer pedido,1
gustaría saber arancel adicional cómo puedo usar,gustaría saber cómo puedo pagar artículo,0
formularios documentos van,problemas pago,0
dónde envío licencia conducir información tarjeta crédito probar quién,dónde encuentro información disputas,0
apelación disputa,apelación,0
debo tomar paquete solo,tomó visa llamé bancos dijeron debería funcionar,0
hola quiero comprar vendedor ajustar precio sistema funciona automáticamente permite vendedor ajuste favor ayuda,sucede si vendedor quiere cancelar pedido,0
hola cómo puedo agregar fotos,cuántos artículos puedo agregar carrito compras,0
cómo reporto vendedor,cómo informo abuso comentarios,0
hablaré contigo luego,quiero hablar contigo,1
dinero devuelto,nunca devolviste dinero,1
envías pago paypal,tomas paypal,1
quiero recuperar pedidos eliminados,quiero pedidos envíen juntos dirección,0
quieres ayudarme,usted puede ayudar,1
cómo eliminar tarjeta,cómo eliminar bienes recibidos,0
entonces podrías ayudarme,problema orden usted podría ayudar,1
número seguimiento actualiza,número seguimiento válido,1
mostrado mensaje página senté allí pasó,recibido,0
cancelar orden,necesito cancelar pedido pedido opción cancelar,0
necesito ayuda apelación,necesito ayuda orden,0
transacción completa,disputa abierta pedidos completados,0
acabo enviarte correo electrónico verifique tarjeta crédito,si orden verificada devolverán dinero,0
puedo escribir ingles,escribo queja,0
cómo verificar nivel membresía,cómo puedo cancelar membresía,0
ejemplo tienda cómo encontrar envío artículo ee uu,tamaño rusia ee uu,0
eliminar detalles tarjeta,cómo puedo encontrar detalles pedido,0
puntos recompensa bajando,puntos disponibles,0
recibí reembolso,recibí factura,0
fecha límite expirado puedo abrir disputa,cómo puedo abrir disputa si orden completa,1
ser humano,quiero obtener humanos,1
cómo hacer pedido,quiero hacer pedido,1
pasa si obtengo reembolso,cuándo recibiré reembolso,1
cómo dejar comentarios tienda vendedor,cómo agrego tienda vendedor favorito,0
entiendes,entiendes chino,0
conversación sigue desapareciendo,funciona trademanager,0
puedo encontrar información disputa rechazada,dónde puedo encontrar cupón vendedor,0
querida pagar gran cantidad comentarios adecuados,pagar,0
ayudaste,casas conmigo,0
cómo extender protección compradores,quiero extender compra protección,1
puse contacto vendedor aún respondió,puesto contacto proveedor producto respondido pregunta,1
cómo reviso puntos recompensa,cómo reviso pedido,0
guardar tarjeta crédito,tipos tarjetas crédito compatibles,0
cuenta puedo volver conectarme quiero hacer pedido tener factura,si hago pedido hoy puedo tenerlo mañana,0
confirmación tarjeta crédito,alguien usó tarjeta crédito,0
cómo uso servicio garantía,cómo uso monedas,0
carrito vacio,puedo agregar artículo carrito,0
chatear ahora funciona,chatear agente,0
quiero hacer pedido puedo,quiero hacer pedido tienda local,0
quiero usar método pago,usar método pago,1
cómo usar cupón vendedor,cómo usar cupón nuevo,0
puedo abrir orden seguimiento,cómo puedo abrir disputa orden cerrada,0
puedo ingresar tarjeta crédito,cómo puedo pagar tarjeta crédito bienes,0
cómo puedo reportar vendedor fraude,cómo puedo protegerme fraude,0
hola quiero preguntar pedidos siendo cerrados,pedido cerrado,1
creo número seguimiento falso,número seguimiento pedido,0
cómo confirmo bienes,cómo puedo confirmar pedido,1
gustaría saber productos disponibles,método pago quiero usar disponible,0
tarjeta sido utilizada alguien,dirección correo electrónico sido utilizada ingrese dirección correo electrónico,0
hola cancelé pedido cuánto tiempo lleva recuperar dinero,puedo recuperar dinero cancela pedido,0
dos órdenes seguimiento dice entrega falló quiero reembolso,quiero pedidos envíen juntos dirección,0
dónde puedo usar reembolso,puedo obtener detalles reembolso,1
hice pedido cancelé dedujeron,necesito factura pedido coloqué,0
hola puedes ayudar favor ten tiempo,usted podría ayudar favor,1
bienes llegarán directamente mano ir oficina aduanas,pago pedido proveedor productos,0
problemas iniciar sesión,problemas crear cuenta,0
hola gustaría saber cómo patrocinar amigo,gustaría saber cómo puedo cancelar pedido,0
trata orden seguimiento,trata orden,0
cómo puedo hacer pedido pagar vendedor debe cambiar premio pagar,alguna forma pueda hacer pedido pagarlo tarjeta crédito,0
humano necesito ayuda,necesito ayuda,1
varias veces hago misma queja banco reembolso última vez ofreció verificar recibido respuesta,quiero comprar varios productos mismo vendedor,0
acabó tiempo vendedor devuelve reembolsa dinero,recibiré reembolso automáticamente si vendedor envía pedido,0
cómo cancelar cuenta,cómo cancelar disputa,0
cómo podemos hablar personas servicio,puedes hablar portugués,1
puedo dejar comentarios página cubierta texto pidiéndome ponga estrellas,cómo cambio estrellas comentarios,0
quiero pagar,quiero pagar pedido,1
mail,preguntar correo electrónico contacto,0
necesito reembolso,necesito ayuda reembolso,1
hago pago aún envío,cómo realizo pago tef,0
traje así necesito reembolso,disputa compañía hecho resolver problema,0
nadie línea ayudar,entonces nadie ayuda,0
envío cancelado,orden cancelada cuál problema,1
cómo obtener factura,necesito factura bienes comprados valor consigo,1
buenos días hice procedimiento devolución solicitud debido demora llegar ahora mañana solicitud acaba llegar casa procedimiento seguir ahora reembolso aún cuenta puedo cancelar reembolso yc,ahora correo electrónico decía pedido canceló pagué,0
cómo seleccionar cupón seleccionado,puede usar cupón select,0
recibí bienes puedo abrir disputa,disputa intensificó recibí bienes cómo cerrarlo,0
necesito abrir disputa,quiero abrir disputa,1
cómo verificar si vendedor confiable,cómo consulto perfil comentarios vendedor,0
abro disputa,puedo abrir disputa,0
tiempo dices vas devolver haces,voy matarte,0
cómo cargo foto,puedo subir fotos,0
diciendo comuniqué,sigue diciendo cuenta,0
hola cómo puedo agregar fotos comentarios,cómo puedo agregar lista deseos,0
puede decirme cuándo solicitaré pedido 2017 05 22 12 05 hola escrito dos veces recibido pedido hecho trampas dos veces,puedes verificarlo decirme pasando orden,0
8 mayo envíe teléfono regresar dirección indicada todavía sé nadie contacta,cómo sé si envían artículos,0
dónde página cupón,dónde obtengo página pago,0
solo quiero recuperar dinero única pregunta,solo hablo rusia,0
usando american express expiró,sido engañado,0
gustaría ponerme contacto responsable marketing suecia,gustaría saber cuándo obtendré reembolso,0
puedo iniciar sesión olvidé contraseña puedo encontrar código verificación correo electrónico intenté vínculos,cómo encuentro código verificación,0
hola recibí masaje través aplicación teléfono pedido entregó artículo recibí,recibí pedido,1
envío solicitó vino reemplazado producto,compre producto venido país,1
cómo puedo ponerme contacto usted,cómo puedo contactarlo correo electrónico,1
hola gustaría unirme programa afiliados gustaría utilizar canal youtube puedo usar enlace canal youtube sitio web,recibí cupón descuento gustaría saber cómo puedo usarlo,0
diciendo solo lleva dólares,tratando hacer pedido sigue diciendo error,0
método envío rápido,método envío mejor,0
problema sistema,sistema verificación,0
solo pregunto cuándo puedo obtener pedido nombre rosa estrada,cómo obtengo nombre usuario,0
necesito diez artículos principales vendí 2017,cómo pago artículos,0
cómo agregar video disputa,cómo agregar videos disputa,1
recibí reembolso todavía,pedido envía recibí,0
preocupación conocer progreso pedido,puedo saber progreso pedido,1
resultó recibí pedido malas condiciones deteriorado perdón escritura sé inglés usando traductor,sé inglés,0
bien,bien gracias,1
acabo enviarte correo electrónico verifique tarjeta crédito,enviado documentos verificación tarjeta crédito sucederá,1
favor investiga problema,problema envío,0
solo quiero saber si pedido sido enviado,quiero saber orden,0
puede hacer pedido,puedo hacer pedido washington,0
área inicio sesión,cuál número área,0
cómo poner información envío disputa,dónde información disputa,0
hice pedido pagué tarjeta crédito luego canceló vendedor aún aplicar descuento entonces vendedor aplicado descuento ahora podemos pagar ninguna tarjeta crédito aparece mensaje 'error sistema ' intente nuevo intente,vi ningún historial pedidos cargó tarjeta crédito,0
después artículo recibido descubrí funcionando,recibido pedido artículo funciona,1
vivo china vivo brasil,puedo comunicarme persona vivo,0
crees español asistir eh probando,paypal,0
cómo poner número tarjeta crédito,cómo recibo reembolso tarjeta crédito,0
escalar juicio ae,puedes escalar disputa,1
hice pedido envió pedido pagué pedido tarifa envío solo reembolsó tarifa pedido reembolsaron gastos envío,tarifa envío devolución,1
cómo verificar número orden,verificado problemas número pedido,0
problema vendedor malo,hombre malo,0
cómo busco vendedor,cómo hago lista negra vendedor,0
pregunta,proveedor respondiendo preguntas,0
pedido cerrado wahy,pedido cambiado,0
cómo presentar queja,cómo cierro queja,0
cómo volver abrir disputa,cómo abro disputa,0
encuentro icono ideal opciones pago,cómo averiguo si realizó pago,0
solo puedo hablar japonés embargo puede responder sitio traducción,puedo hablar contigo teléfono,0
mierda haciendo alli,quiero follarte,0
pakistán quiero volver vender productos,políticas país demasiado estrictas importar productos sitio,0
cómo extiendo tiempo procesamiento orden,si devolví paquete proveedor debería extender tiempo procesamiento,0
intento iniciar sesión aparece bloqueado ingresa envía número teléfono nunca envía entonces cómo puse pedido,esperado demasiado verificar dirección correo electrónico pueden enviar nueva,0
quiero decir tomaste aquí tbc,aquí días,0
cómo puedo obtener dirección vendedores,cómo obtengo dirección vendedor,1
disputa progreso significa,significa proveedor enviado parcialmente pedido significa,0
aquí número pedido,número teléfono,1
estimado bloqueado 10 días vez cuándo usaré agencia tarjeta paga,cuándo voy recibir pedido,0
extender tiempo entrega,necesario extender tiempo procesamiento,0
ido mal envío paquete,paquete enviado método equivocado,1
cómo puedo reportar vendedor fraude,cómo informo vendedor,1
acabo enviar publicación,vendedor prometió entrega ems envió publicación china,0
si pedido muestra 'cancelar pedido ',pedido muestra disputa cerrada,0
necesito diez artículos principales vendí 2017,significa vendido pieza,0
extender tiempo entrega,puedo extender tiempo retroalimentación,0
pregunta vender,pregunta pedido,0
tela ropa niños,supone nombre primera mujer,0
vendedor responde,puede escribir cuadro respuesta,0
recibí error pedido obteniendo confirmación pago exitoso,recibo mensaje error hacer pago tarjeta crédito,0
problema pago real,problema pago,0
puedo dejar comentarios página cubierta texto pidiéndome ponga estrellas,puedo dejar comentario privado,0
puedes pedir solo,ordeno solo puedo pedir 1 cantidad,0
bien,esperando,0
recibido pedido ninguna conformación incluso siendo enviado,cualquier producto puede ser enviado país,0
deseo reembolso parcial quiero reembolso completo,quiero reembolso reclamo,0
hice,quiero cancelar pedidos,0
funciona,cómo ponerse trabajar,0
dirección envío vendedor,dirección envío inglés,0
pago neto puedo hacer,cómo puedo hacer pago cupones,0
envío irán,quién pagará envío devolución,0
muestra vendedor buscando,orden muestra repetida,0
puede ayudarme,empresa puede ayudarme,1
necesito comprar pedido pagar tienda ajustar precio entonces pago,necesito precio,0
cuantos años,cuantos años,1
pagado twitch,pagado,0
escribió ayer,vendedor pidió confirmara entrega enviar artículo,0
necesito disputa abierta,cuándo puedo abrir disputa,0
favor dame número teléfono servicio cliente problemas pagar 2 días sé,número teléfono servicio cliente,1
favor preste atención sucediendo favor,favor dime paso articulos,1
necesito llamar contigo,puedo llamarte,1
acabo leer rechazado apelación,hice pedido tarjeta seguía siendo rechazada,0
envío cancelado,orden cancelada cuál problema,0
puedes ayudar m,puedes ayudar,1
